station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
EHVL,2020-05-23 00:12,55.40,51.80,87.65,230.00,17.00,0.00,30.00,M,4.97,M,OVC,M,M,M,17000.00,M,M,M,BR,M,M,M,M,M,M,M,EHVL 230012Z AUTO 23017KT 8000 BR OVC170 13/11 Q1016 BLU
EHFS,2020-05-23 00:25,57.20,46.40,67.12,230.00,21.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFS 230025Z AUTO 23021KT 9999 NSC 14/08 Q1019
EHRD,2020-05-23 00:25,57.20,48.20,71.83,240.00,14.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHRD 230025Z AUTO 24014KT 210V270 9999 NSC 14/09 Q1019 NOSIG
EHEH,2020-05-23 00:25,59.00,35.60,41.42,240.00,8.00,0.00,30.12,M,6.21,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,EHEH 230025Z AUTO 24008KT 200V270 9999 OVC100 15/02 Q1020 BLU
EHBK,2020-05-23 00:25,57.20,44.60,62.69,220.00,10.00,0.00,30.15,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHBK 230025Z AUTO 22010KT 9999 NSC 14/07 Q1021
EHDL,2020-05-23 00:25,59.00,35.60,41.42,230.00,9.00,0.00,30.09,M,6.21,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,EHDL 230025Z AUTO 23009KT 200V280 9999 OVC100 15/02 Q1019 BLU
EHGG,2020-05-23 00:25,55.40,46.40,71.64,230.00,7.00,0.00,30.03,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHGG 230025Z AUTO 23007KT 9999 NSC 13/08 Q1017
EHGR,2020-05-23 00:25,59.00,37.40,44.47,250.00,11.00,0.00,30.12,M,6.21,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,M,EHGR 230025Z AUTO 25011KT 220V290 9999 OVC100 15/03 Q1020 BLU 10004KT CAVOK
EHKD,2020-05-23 00:25,55.40,51.80,87.65,220.00,11.00,0.00,30.03,M,4.97,M,FEW,OVC,M,M,1400.00,6400.00,M,M,BR,M,M,M,M,M,M,M,EHKD 230025Z AUTO 22011KT 8000 BR FEW014 OVC064 13/11 Q1017 BLU
EHLE,2020-05-23 00:25,57.20,46.40,67.12,230.00,10.00,0.00,30.06,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHLE 230025Z AUTO 23010KT 9999 NSC 14/08 Q1018
EHLW,2020-05-23 00:25,55.40,51.80,87.65,220.00,7.00,0.00,30.03,M,5.59,M,OVC,M,M,M,15000.00,M,M,M,BR,M,M,M,M,M,M,M,EHLW 230025Z AUTO 22007KT 9000 BR OVC150 13/11 Q1017 BLU
EHAM,2020-05-23 00:25,57.20,48.20,71.83,240.00,16.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHAM 230025Z 24016KT CAVOK 14/09 Q1018 NOSIG
EHAK,2020-05-23 00:25,55.40,46.40,71.64,230.00,26.00,0.00,29.85,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHAK 230025Z AUTO 23026KT 9999 NCD 13/08 Q1011
EHDV,2020-05-23 00:25,55.40,46.40,71.64,240.00,22.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHDV 230025Z AUTO 24022KT //// // ///////// 13/08 Q1013 RE//
EHFD,2020-05-23 00:25,55.40,46.40,71.64,0.00,0.00,0.00,29.91,M,6.21,M,NSC,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHFD 230025Z AUTO 00000KT //// // NSC 13/08 Q1013 RE//
EHFZ,2020-05-23 00:25,57.20,46.40,67.12,240.00,24.00,0.00,29.94,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFZ 230025Z AUTO 24024KT 9999 NSC 14/08 Q1014
EHJA,2020-05-23 00:25,55.40,46.40,71.64,220.00,29.00,0.00,29.94,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHJA 230025Z AUTO 22029KT 9999 NSC 13/08 Q1014
EHVK,2020-05-23 00:25,59.00,35.60,41.42,240.00,9.00,0.00,30.09,M,6.21,M,OVC,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,M,EHVK 230025Z AUTO 24009KT 210V280 9999 OVC110 15/02 Q1019 BLU
